"","vtitle","vpoint","vreview"
"25","톰과 제리","10","꼭 영화관에서 보시면 좋겠어요 영상이 너무 예뻐요 ost도 한몫했던 것 같네요 마지막 윤여정 쌤 표정이 아직도 생생하게 기억나요 이민자의 삶을 다 이해할 순 없겠지만 보면서 눈물 한 바가지 흘렸습니다 모든 등장인물의 마음이 뭔지 이해가 돼서요 처음부터 다시 천천히 음미하면서 보고 싶은 영화예요!"
"26","극장판 귀멸의 칼날: 무한열차편","10","감독과 대화를 하는 듯한 작품이었다"
"27","세자매","10","꿀잼입니다. 퀄리티는 기대 이상 스토리는 예측가능"
"28","해리 포터와 마법사의 돌","8","불이난 뒤 급히 마무리되는 뒷 부분이 아쉽다. 좀 더 천천히 희망을 준비하는 과정이 담겼더라면.."
"29","검객","8","잔잔한 영화라고 해도 한국 독립 영화와는 다르다. 그런 느낌의 미국 독립 영화에 한국인의 모습을 한 사람들이 주인공으로 들어가 있어서 다소 신기했고 다른 한편으로는 이방인으로 산 경험이 있는데 그때의 감정이 살아나는 장면에서는 가슴이 두근두근 아찔해지기도 했다"
"30","극장판 귀멸의 칼날: 무한열차편","10",""
"31","루킹 글라스","9","기생충과 다른 잔잔한 물결"
"32","극장판 귀멸의 칼날: 무한열차편","10","눈물이 적셔지는 영화입니다.."
"33","클로젯","4","스티븐연의 한국어 발음은 여전히 교포 티를 벗지 못했으며 한예리는 왜 덩달아 연기가 어색해졌는지...? 그 누구의 연기보다 막내 아들 데이빗의 연기가 가장 인상 깊었다.평생 한국에서 나고 자란 사람들에게는 그렇게 큰 감동과 울림을 전달하지는 못 할듯. 이로써 <미나리>는 철저한 미국 영화임이 밝혀졌다."
"34","수상한 가족","9","한번 보고 생각나서 다음날 바로 다시 한번 본 영화. 한예리 연기가 와 닿던데..."
"35","톰과 제리","10","말이 필요없는 배우들의 연기..다시 한번 엄지 척!"
"36","극장판 귀멸의 칼날: 무한열차편","10","따뜻한 가족 이야기 윤여정 한예리 아카데미연기상 기원합니다 주제가도 좋아요먹먹하게 가슴으로 안아주는 할머니의  따뜻한사랑"
"37","세자매","10","유포터블 애니는 진리다"
"38","해리 포터와 마법사의 돌","9","마지막이 정말 재밌었어요 그 앞까지는 그닥!"
"39","검객","1","충격과 공포였읍니다 홍콩독립 만세"
"40","극장판 귀멸의 칼날: 무한열차편","2","이 영화를 보고 잘 만들었다고 질질 짜는 애들은 눈과 귀와 머리가 터져버린애들일 것이다. 이 영화는 공감이 1도 안되는 여자와 그 여자가 벌이는 범죄극을 그렸을 뿐 아무것도 없다."
"41","루킹 글라스","10","난데없이 눈물이 나네.중간중간 웃음포인트도 있고연기력이 좋아서 몰입이 잘  됨."
"42","극장판 귀멸의 칼날: 무한열차편","10",""
"43","클로젯","9","내 안에 있는 타인과내가 바깥으로 대하는 타인그리고 나를 바라보는 타인의 두가지 시선 때로는 감추고 포장해야 관계는 평화로울 수 있다"
"44","수상한 가족","8","죽은사람이 불쌍하군영"
"45","톰과 제리","1","성경에 나온 노아가 아닌대?싸이코 패스 인줄...차라리 판타지할거면 좀 멋드러지게 하던가..심하다"
"46","극장판 귀멸의 칼날: 무한열차편","2","재미없어요기다리다가 개봉  동시에 예약하고 보러갔는데기대이하 지겨웠어요"
"47","세자매","8","어떤 위대한 업적을 이뤄낸 사람들의 공통점일까? 정말 평범한 열정이 아니라고 생각한다. 사람 자체로도 특이하고 유별나긴 했지만 무언가를 향한 그 집념과 끈기에서 특히 더 두드러졌다고 생각한다. 특히 지금의 나와 연결지을 수 있어서일까. 그 부분에서 참 나를 부끄럽게 했다. 지금의 나는 목표를 향해 나아가는데 있어서 저런 열정 하나 없다. 남들보다도 덜 열심히 하면서 내가 뭘 해낼 수 있을까 싶어서 반성하고 반성한다."
"48","해리 포터와 마법사의 돌","10","그는 이제 첫사랑을 보내줄 수 있게 된 듯 하다"
"49","검객","10","그냥 말해뭐해,,,,"
"50","극장판 귀멸의 칼날: 무한열차편","10","재밌는데 슬퍼요ㅜㅜ 모두들 화이팅!!"
"51","루킹 글라스","6","겪어보지 않은 일이라도 영화는 공감을 이끌어 낼 수 있다. 하지만, 나에겐 넘 어려운 문제였다.할머니와 데이빗의 상황에서 눈물이 나는 코드도 있었지만 크게 감동적인 영화라고 보긴 어려웠다.그냥 짧은 시를 한 편 읽은 듯한 느낌이 든다."
"52","극장판 귀멸의 칼날: 무한열차편","10","너무 재밌다 근데 슬프다 ㅜㅜ"
"53","클로젯","8","방금 영화보고 집에오자마자 티비 켰는데 윤스테이에 나오시는 윤여정 배우님 보고 왜 눈물 나냐구요 ㅠㅠ여운남아요ㅠㅠ"
"54","수상한 가족","10","최고다 진짜눈물이 흐르네요"
"55","톰과 제리","10",""
"56","극장판 귀멸의 칼날: 무한열차편","8","제목만 보면 몬스터에 대한 영화일것 같지만 전혀 그렇지 않아서 반전이었고 남주의 연기와 스토리, 연출 정말 너무 다 좋은 영화였습니다. 더군다나 암환자의 가족이라면 한번쯤은 생각을 해봤을 그런 생각들이나 마음들 그리고 숨기고 싶었던 내면들이 영화를 통해서 보여지니 공감이 되어 가슴이 더 뭉클해지네요...이 영화 일반인이 볼때에는 어떨지 모르지만 가족중에 아픈사람이 있는 분들이 보게된다면 마지막 스토리에서 큰 슬픔을 안겨줍니다..."
"57","세자매","10","영화 진짜 좋았어요! 따뜻했고 슬펐고...할머니생각 엄마 아빠 생각 동생들하고 함께 자랄때 느꼈던 감정들까지 다 생각나서 미처 다 울지못하고 나온 기분이에요~많이 지쳐있던 마음이 풀어진다고 할까요? 다들 거리두기하고 마스크잘쓰고 극장에서 꼭 보셨으면 좋겠어요"
"58","해리 포터와 마법사의 돌","8","가족들은 결국 서로를 구했다"
"59","검객","10","동석이 형님 트와이스 춤추는 장면때 진짜 숨넘어갈뻔 했어요 ㅎ"
"60","극장판 귀멸의 칼날: 무한열차편","10","미국의 느낌에 한국의 정서가 스며든 듯한 영화였습니다."
"61","루킹 글라스","10","처음 써보는 감상평입니다배우들의 연기는 단연 최고였고감독님의 섬세한 연출또한 최고인 영화가슴으로부터 감동이 올라오는 영화입니다안보신 분들 꼭 보시기를!! 감독님의 신작이 나오면 꼭 보겠습니다"
"62","극장판 귀멸의 칼날: 무한열차편","4","학교폭력에 대해서 가해자가 피해자 입장이 되어 학폭 피해자가 얼마나 큰 상처 속에서 살아가는지 보여주는것 같은데 흠...먼가 연출력이 부족한걸까 스토리가 미흡한걸까...마음적으로 와닿음이 크지 않았던 그냥 무난하게만 본 영화였네요..."
"63","클로젯","10","화면이 예쁘고 가족감성이라 좋네요"
"64","수상한 가족","10","물과 미나리, 그 메타포가 좋다"
"65","톰과 제리","8","한국사람이라면 누구든 공감할만한..그러나 쉽게 기억 못하는 추억."
"66","극장판 귀멸의 칼날: 무한열차편","1","별 반개도 아까운 영화. 문재인스럽다."
"67","세자매","5","눈 덮인 마을에 노년의 인생. 소소한 소재와 복선에 의아한 고평가. 멜라니 그리피스는 왜 굳이 아름다운 상체를 드러내나. 총만 안 들었지 올드한 웨스턴의 향취가 남은 서사."
"68","해리 포터와 마법사의 돌","10","따뜻해지고 여운이 남는 영화였습니다. 미국땅 어느 작은 숲속에서도 잘 자라는 한국 미나리처럼 우리나라 사람들도 어디서든 잘 살아남길 바라봅니다."
"69","검객","1","개보다 못한 쓰 레 기 영 화 !!!  구역질나는 좌빨들이 정권잡고 하는 짓 봐라 !!!  미화도 작작해야지 거부감이 생기는 더러운 쓰레기 영화 !!!"
"70","극장판 귀멸의 칼날: 무한열차편","10","꼭보세요 너무 잘만든 영화같아요"
"71","루킹 글라스","5","전혀.... 아니올시다."
"72","극장판 귀멸의 칼날: 무한열차편","8","미국 수맥찾는법 확인가능함. 장비 국내와 유사한걸로 밝혀져."
"73","클로젯","10",""
"74","수상한 가족","10","계속 불안한 느낌의 연출, 배우들 연기 다 좋았습니다♡"
"75","톰과 제리","10","국어 교과서에 실려도 이상하지 않을 영화"
"76","극장판 귀멸의 칼날: 무한열차편","10","아파하며 뿌리내린 나무의 이야기"
"77","세자매","1","보고 다시 이야기하겠음"
"78","해리 포터와 마법사의 돌","10",""
"79","검객","10","볼만하다. 인생한번 그렇게 사랑한다면야"
"80","극장판 귀멸의 칼날: 무한열차편","10","시간 아깝다니 졸작이니 뭐니 깔 사람은 그 시간에 또 아까운 시간들여 평점 테러하지말고 본인 시간 아끼도록."
"81","루킹 글라스","10","진짜 재밌게 봤습니다 유치하지도 않고.."
"82","극장판 귀멸의 칼날: 무한열차편","10",""
"83","클로젯","8","억지 신파가 아닌 담담한 연출로도 충분한 감동"
"84","수상한 가족","4","걍~ 본능에 충실한... 부럽! ;;;"
"85","톰과 제리","6","잔잔한감동이 있고 돈보다 가족이우선이라는 뭔가 울림이있네요~윤여정씨의 아픈연기는 정말대단해요~데이빗손주와 외할머니의 케미가 돋보였습니다"
"86","극장판 귀멸의 칼날: 무한열차편","2","10원도 아깝다곸ㅋㅋㅋ진짜 유아인 박신혜도 한창 반등해야할 나이인데, 무슨 자신감과 안목으로 차기작을 고르는건지 이해1도 0.01도 안됨"
"87","세자매","10","답답한 현실을 웃으면서 사는 방법에 관한 영화임"
"88","해리 포터와 마법사의 돌","2","기대하고 봤더니 실망만 했습니다. 스토리 연출이 아주 개판"
"89","검객","8","저의 눈물을 자극할 정도로 감동적이었어요. 마지막에 데이빗이 할머니한테 달려갈 때 제일 좋았어요. 해피엔딩이었으면 더 좋았을 것 같아요!"
"90","극장판 귀멸의 칼날: 무한열차편","10","배우들 연기도 좋았고 스토리도 이정도면 나름 만족해요!!다 보고 나서 여운이 오래가네요...."
"91","루킹 글라스","10","다른거 다 모르겠고!감독 센스가 대단함! 이건 감독 능력임!영화가 세련됐음!이런 스토리를 이렇게 아름답게 풀다니...보는 내내 영상이 너무 아름답고...음악도 너무 아름다움"
"92","극장판 귀멸의 칼날: 무한열차편","10","한예리 배우님 연기 정말 훌륭하십니다"
"93","클로젯","7",""
"94","수상한 가족","9","개인적으로 영화 버닝을 보다가 같이 보던 친구가 비닐하우스 태우는 신을 보고 실제 자신의 과수원 태운 것처럼 놀라며 아까워했는데 그 기분을 알게되었다. 길버트 그레이프 같은 드라마를 좋아하는 관객이라면 추천한다. 극장 밖을 기분 좋게 나올 수 있던 영화!"
"95","톰과 제리","10","슬프면서도 따뜻한 내 인생 최고의 영화!! 많은 생각을 하게되는 그런 영화 ㅎㅎㅎ"
"96","극장판 귀멸의 칼날: 무한열차편","8","뿌리깊게 자란 가든의 식물은 아니지만 미나리처럼 생명력 강한 영화좋은 곳에 자리잡아 자연에, 바람에 흩날리는 미나리처럼 살아가고 싶은 가족의 이야기"
"97","세자매","10","마지막이 좀 안타까움... 돈 버는 영화.. 강추"
"98","해리 포터와 마법사의 돌","10","보쿠타치와 모에사카루 타비노토츄데데~~아이~~~"
"99","검객","10","유년기를 디지몬과 함께하신 분이라면 꼭 보세요!"
"100","극장판 귀멸의 칼날: 무한열차편","10",""
"101","루킹 글라스","10","전체적으로 이야기를 끌어가는게 좋았다"
"102","극장판 귀멸의 칼날: 무한열차편","6","가족의 소중함을 일깨워주는 영화이다. 어디서든 잘 자라는 미나리를 보면서, 어디서든 잘 생활하고 있을 이민자들에게 응원의 박수를 보낸다."
"103","클로젯","10","중딩때 친구 따라서 극장에서 봤다가 너무 감명깊게 본 기억이 있어서 왓챠에 뜬거 다시 봤는데 그 시절때 봤던거보다 2배는 더 잼있다아니 최근에 나온 모든 영화 통틀어 다섯손가락 안에 들어감"
"104","수상한 가족","1","총을 수백발 맞아도 움찔도 안하는 몬스터들이 칼로는 숭숭 썰린다.  땅속으로 이동하는게 차량보다 더 빠르던 몬스터는 땅 위로 올라오니 사람 달리는 속도가 된다."
"105","톰과 제리","5","평점이 나쁘지않아 넷플로봤는데..뭔가 계속 아쉽네요.터질듯터질듯하면서 아쉬운느낌이랄까..따로 시간을 내서 볼필요까진없는듯"
"106","극장판 귀멸의 칼날: 무한열차편","10","오랜만에 아무생각 없이 넘 재밋게 봣어요 ㅠㅠㅠ 웃음포인트도 많고 계속 생각나요 ㅋㅋㅋㅋ"
"107","세자매","10","아니 ㅅㅂ 한국사 공부를 안했나 ㅁㅊㅅㅋ들이 이걸 폭동이라 하네 정신병자들이 일베충 내눈에 띄지마라 OO다 진짜"
"108","해리 포터와 마법사의 돌","7","시간 남아서 본 영화... 그냥 괜찮은정도?"
"109","검객","4","내가 수준이 낮은건지.. 너무 난해하다..배우들 대사 전달도 잘 안됐을뿐더러 보는내내 지루했다.."
"110","극장판 귀멸의 칼날: 무한열차편","9","어릴 때는 몰랐는데 성인이 되고 나이가 들어서 보니 또 다르다 금자는 13년동안 얼마나 복수를 갈망했을까... 복수신은 잔인하다 생각들면서도 통쾌했다 영화속 요즘 활발하게 활동하는 반가운 배우들의 얼굴도 많고 좋았다"
"111","루킹 글라스","10","27살,, 귀멸의칼날 보고 울기 딱 좋은 나이입니다...혼자 영화관가서 감동 먹고 오열했습니다...마지막 엔딩곡도 너무 좋습니당..."
"112","극장판 귀멸의 칼날: 무한열차편","10","그냥 보세요.. 엄청난 영화임"
"113","클로젯","5","캐릭터에만집중한 사건들"
"114","수상한 가족","10","어디서나 잘 자라는 미나리처럼, 미국 그 어딘가에 정착했을 그들을 상상하게 만드는 영화."
"115","톰과 제리","10","재밌게 잘봤네요ㅎㅎㅎ 마음이 따뜻해져요"
"116","극장판 귀멸의 칼날: 무한열차편","9","생각없이 봤는데 스케일이 큰 영화네? 하면서 빠져들었다 다 아는 엑스칼리버 얘기인데 영화로 만드니 시간가는 줄 모르고 재밌게 봤다"
"117","세자매","8","갈등이있기에 해쳐나갈수있다"
"118","해리 포터와 마법사의 돌","8","이민자들에게  큰 감동을 주었음이 분명하겠어요"
"119","검객","6","하 그닥 결말 뭔가요?차라리 미나리 농사를 지어서 돈을 크게 번다 뭐 이런 것도 아니고"
"120","극장판 귀멸의 칼날: 무한열차편","7","기대보다는 스토리가 큰 감흥은 없습니다연기는 잔잔하게 볼 만 합니다"
"121","루킹 글라스","8","연출을 좀 무겁게 했지만, 그로 인해 더 생생했다 전여빈 배우님 원석발견영화."
"122","극장판 귀멸의 칼날: 무한열차편","10","진짜 여러분들 휴지 챙겨가세요 4d로 봐도 재밌는데 4d로 보면 울거 같은 장면에서 의자가 움직여서 안울수도 있습니다. 진짜 개인 소장해서 여러번 보고 싶은 영화입니다."
"123","클로젯","10","영화 잘 봤습니다 창작의 자유이니 너무 서로 헐뜯지 맙시다 근데 일부 남자들보고 반성하라는 말이 자주 보이는데 뭘 반성해야 되죠?? 여성이라고 무시하면서 산적 없는데 80년대 이후로 태어난 남자들은 거의다 저랑 비슷한 생각일거임 사회구조적인 문제와 기성세대가 잘못한걸 왜 우리한테 풀고있는지"
"124","수상한 가족","8","잔잔한 영화생각보다 큰 감동은 아니었다.기대가 컸나?"
"125","톰과 제리","2","그럭저럭. 서프라이즈 수준의 공포."
"126","극장판 귀멸의 칼날: 무한열차편","5","롤토체스 하면서 사운드 채우기에는 적합했어요."
"127","세자매","6","영화는 밋밋했어요음악은 좀 촌스러워서 거슬렸구요배우들의 어색한 한국어가 몰입을 방해했어요어?이게 끝이야의 엔딩이었습니다"
"128","해리 포터와 마법사의 돌","4","딱 상주는 사람들 취향인 영화.. 공감이 잘 안됨"
"129","검객","10","와 나 평점 처음 써보는데 개재밌다 넷플에 나와서 아무생각 없이 틀었는데 존잼 반전에반전 그와중에 현빈 존잘 다들 꼭 보셈"
"130","극장판 귀멸의 칼날: 무한열차편","10","눈물바다....넘모 잼잇쟌아"
"131","루킹 글라스","6","마무리가 비교적 약했음"
"132","극장판 귀멸의 칼날: 무한열차편","10","롯데시네마랑 CGV 둘 다 봤는데 의자는 롯데시네마가 더 움직이고 특수효과는 CGV가 더 좋네요 근데 매장마다 다를 수 있으니 참고만 하세용"
"133","클로젯","1","밀정은 완벽한데 인랑은 왜 이모양?"
"134","수상한 가족","10","쩔었다.. 애니를 극장가서 본것도 성인되고 처음이지만 이건 정말 볼만합니다"
"135","톰과 제리","10","난 너무 재밌었음 그럼 됐어"
"136","극장판 귀멸의 칼날: 무한열차편","9","3부작이 서로 적절하고 자연스럽게 이어지면서 마지막 끝맺음까지 완벽한 고전명작"
"137","세자매","8","편지라는 매체가 가진 특징을 잘 살리면서, 서정적인 분위기, 극강의 작화, 멋진 OST까지. 자극적이지 않으면서 마음을 포근하게 적셔주는 고마운 시리즈."
"138","해리 포터와 마법사의 돌","8","액션씬이 훌륭하고 씁쓸하면서도 애달픈 무협영화"
"139","검객","8","톰과제리는 옛날부터 많이 봐와서 지루하지 않았는데, 분량이 살짝 아쉽고, 클레이 모레츠와 협동 조합은 잘 안 맞은 거 같네요.."
"140","극장판 귀멸의 칼날: 무한열차편","5","재미도 감동도 너어무 없음"
"141","루킹 글라스","10","마스크 젖도록 울고 나옴.... 증말 보고와서 몇일째 못헤어나오는 중.. 싸움씬에 깔리는 오토튠 지리는 음악은 개 소름돋음!!!쿄쥬로ㅠㅠㅠㅠ♥ ♥ ♥ ♥"
"142","극장판 귀멸의 칼날: 무한열차편","10","배우분들의 폭발적이면서도 절제된 연기가 너무 인상적이었네요. 윌 패튼의 힐빌리 신앙인 연기도 아주 원더풀 ♪"
"143","클로젯","7","유치한맛이 있긴하지만 볼만한 로맨스 영화"
"144","수상한 가족","6","윤여정씨가 어디 아파하는 연기 그 때만 잠깐 훌쩍임. 그 외엔 그닥... 너무 스무스해서 영"
"145","톰과 제리","8","홍콩느와르의 여파가 짙게 풍기지만, 그래도 좋았던 영화!!"
"146","극장판 귀멸의 칼날: 무한열차편","9","가슴을 따뜻하게 해주는 정말 좋은 영화입니다 ㅎㅎ"
"147","세자매","10","흐르는 강물 영화가 생각나는 잔잔함과 가족애로 감동을 주는 영화였습니다.  ‘할머니가 자리를 잘 잡으셨네’ 엔딩의 대사는 여운이 남습니다.  미나리가 연약해 보이지만 바람결에 흔들리면서 보이는 장면은 한국 정서가 함축되어 보여주는 장면이라고 생각했습니다."
"148","해리 포터와 마법사의 돌","10","많은 사람들이 보았으면 좋겠다 가족의 의미..."
"149","검객","10","이 영화가 왜 호불호 갈리는지 모르겠습니다 저는 극호였습니다 !"
"150","극장판 귀멸의 칼날: 무한열차편","10","쵝오...!!더 이상 말이 필요없음...."
"151","루킹 글라스","9","잔잔하고 따뜻한 영화예요 개인적으로는 스티브 연의 연기가 전형적인 한국인의 모습이 아니어서 좀 아쉬웠지만 전체적으로 앙상블이 좋습니다 오버하지 않고 진정성 있게 끌고 나가는 스토리도 좋고요"
"152","극장판 귀멸의 칼날: 무한열차편","10","보는 내내 나는 울었다...ㅠㅠ몰라 왜 울었는지... 그냥 눈물이 났어..."
"153","클로젯","10","최고임 어쩌다 마주친 행운의 영화"
"154","수상한 가족","10",""
"155","톰과 제리","8","윤여정 씨의 연기는 어느 드라마, 영화에서처럼의 모습이었는데 이런 모습에 열광한다니 앞으로 윤여정 씨나 다른 한국 배우들이 헐리웃에서 활동할 날이 멀지 않음을 느낀다. 너무나 사실적인 상황과 묘사에 따뜻하고 슬펐다. 한예리와 스티브연, 아역 배우들의 연기가 정말정말 좋았다. YJ는 말할 것도 없다."
"156","극장판 귀멸의 칼날: 무한열차편","9","당시엔 어려서 얼마나 심각한지 몰랐는데 좋은 공부 한거 같네요"
"157","세자매","10","동심으로 돌아간 느낌이어서 좋았어요~ 클로이 넘 예뻐"
"158","해리 포터와 마법사의 돌","8","좋은데 난해하기도 해서 어렵네요."
"159","검객","10","영웅본색에 윤발님이 있다면, 귀칼엔 렌코쿠가 있었다!! 렌코쿠~ 넌 참 멋진 놈이야"
"160","극장판 귀멸의 칼날: 무한열차편","10","음악이 참 좋았어요. 뭔가 생각을 많이 하게 되는 영화네요. 괜찮았어요~!"
"161","루킹 글라스","10","세 번 봤지만 잼있네요! 정재영 연기 잘하고 한지민은 상큼합니다!! 계획을 세워야해~ 알람을 맞춰야해~ 노래도 좋아요"
"162","극장판 귀멸의 칼날: 무한열차편","6","외국인들 눈에는 영화가 신선했나보다. 나에겐 스티븐 연 한국말 많이 늘었네 정도의 감흥."
"163","클로젯","10","이 영화는 미치다못해 경이롭다...."
"164","수상한 가족","1","쓰레기 전범영화 퉤 이런영화는 소비 금지임"
"165","톰과 제리","10","8세 아이랑 함께 봤는데 너무 감동적이였어요."
"166","극장판 귀멸의 칼날: 무한열차편","8","보는내내 속이 거북했어요..남자분들 혼자만 보세요 커플끼리는 비추해요..자극적이기는 엄청 자극적이에요..김강우 연기랑 연회장면이 기억에 남아요 여주인공 예쁘네요.."
"167","세자매","6","가족이 아메리칸 드림 이루는 모습이 나왔으면 더 좋았을듯 연기는 굿임"
"168","해리 포터와 마법사의 돌","7","이엘리야 이쁜맛에보긴봤는데.. 휠체어에 곰돌이인형.. 매달고 다니지마라.. 죽는다..진짜;;"
"169","검객","6","색다른 영상미를 느낄수있었다. 배우들 연기잘함"
"170","극장판 귀멸의 칼날: 무한열차편","9","고난 속에서 살아남는 가족 이야기. 기생충이 사회 부조리를 콕 짚어 내려다봤다면, 미나리는 현장 속으로 쑥 들어가 버린다. 연기, 촬영, 음악도 고루 좋은 듯"
"171","루킹 글라스","10","그냥 애니메이션을 보면서 영상에 압도된적은 처음이었습니다. 정말 최고네요"
"172","극장판 귀멸의 칼날: 무한열차편","10","할머니가 보고 싶어졌다."
"173","클로젯","8","잔잔하고 아름다운.미나리 옆 잔물결같은 영화."
"174","수상한 가족","1","감독님, 촬영장에 불좀 키고 찍으세요."
"175","톰과 제리","6","내가 공감할수 없는 세대의 이야기 보고 나서도 여전히 공감하지 못했다"
"176","극장판 귀멸의 칼날: 무한열차편","10","나의 어릴 적 동심과 추억을 예쁜 앨범으로 만들어 준 행복한 선물같은 영화"
"177","세자매","10","조온나재밌음ㅋㅋ보는내내 개꿀잼"
"178","해리 포터와 마법사의 돌","6","여기 나왔던 조연들은 다 대박이다... 지금 다 잘나가는 사람들만 나오네"
"179","검객","10","간만에 한국영화 재밌어요 ^^"
"180","극장판 귀멸의 칼날: 무한열차편","10","그럼에도 불구하고 꿋꿋하게!"
"181","루킹 글라스","10","최고의 영화입니다. 추천합니다."
"182","극장판 귀멸의 칼날: 무한열차편","10","담백한 연출이 좋았어요"
"183","클로젯","8","삶을 되돌아 보게 하는 잔잔한 영화입니다"
"184","수상한 가족","10","4번 즙짰습니다1. 탄지로 꿈속 회상씬2. 렌코쿠 첫 기술3. 렌코쿠 부상 후 탄지로 오열4. 렌코쿠 사망 직전 어머니 재회씬진짜 귀칼은 전설입니다"
"185","톰과 제리","4","대한민국 관객의 눈은 높아졌음. 이게 뭐임."
"186","극장판 귀멸의 칼날: 무한열차편","10","그냥 영화시작하고 20분지나고부터 계속 울었어요 휴지뽑고 닦고 다젖고 젖어서 계속 눈물났어요 마음이저릴듯이크게다가온영화에요 저는 할아버지가 아주애기때 돌아가셔서 추억이없어 공감되는스토리는아니였던 제가 이정도오열하는데 하 정말 너무감동받고 그냥 마음속 깊게 새기고싶은 영화입니다 너무 잘봤어요"
"187","세자매","4","뭐 어쩌라는건지 기대가 너무 높았나 엥 스러웠다..갑자기 집에서 티비만 보고있으라니깐 구지구지 쓰레기를 태우고 미나리 찬양에...음;"
"188","해리 포터와 마법사의 돌","10","이용철이는 평점이 항상 낮냐"
"189","검객","7","킬링타임용 괜찮음.철부지가 현실을 깨닫고 철이 드는 과정.주연,조연보다 우정출연한 유지태의압도적인 장악력이 돋보이는 작품."
"190","극장판 귀멸의 칼날: 무한열차편","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"191","루킹 글라스","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"192","극장판 귀멸의 칼날: 무한열차편","10","배우들의 연기력이 대박이다...."
"193","클로젯","8","소박하지만 담백하게, 어디에서든 피어날 사람들의 이야기"
"194","수상한 가족","4","독립영화같은느낌차분하고조용한"
"195","톰과 제리","10","킬링타임으로 가서 봤는데 생각보다 너무 재밌게 잘봤어요! 후반부로 갈수록 휘몰아치네요"
"196","극장판 귀멸의 칼날: 무한열차편","10","이영화 재밌어요 와우 대박 반전 !"
"197","세자매","10","미쳤다 !!!슬펐다!!! 죽지 않길 바랬는데 ..."
"198","해리 포터와 마법사의 돌","10","공감하면서 눈물흘리면서 재밌게 봤어요!연기 굿!"
