"","title","point","review"
"31","극장판 귀멸의 칼날: 무한열차편","10","27살,, 귀멸의칼날 보고 울기 딱 좋은 나이입니다...혼자 영화관가서 감동 먹고 오열했습니다...마지막 엔딩곡도 너무 좋습니당..."
"32","미나리","10","그냥 보세요.. 엄청난 영화임"
"33","카오스 워킹","5","캐릭터에만집중한 사건들"
"34","미나리","10","어디서나 잘 자라는 미나리처럼, 미국 그 어딘가에 정착했을 그들을 상상하게 만드는 영화."
"35","미나리","10","재밌게 잘봤네요ㅎㅎㅎ 마음이 따뜻해져요"
"36","킹 아서: 제왕의 검","9","생각없이 봤는데 스케일이 큰 영화네? 하면서 빠져들었다 다 아는 엑스칼리버 얘기인데 영화로 만드니 시간가는 줄 모르고 재밌게 봤다"
"37","미나리","8","갈등이있기에 해쳐나갈수있다"
"38","미나리","8","이민자들에게  큰 감동을 주었음이 분명하겠어요"
"39","미나리","6","하 그닥 결말 뭔가요?차라리 미나리 농사를 지어서 돈을 크게 번다 뭐 이런 것도 아니고"
"40","미나리","7","기대보다는 스토리가 큰 감흥은 없습니다연기는 잔잔하게 볼 만 합니다"
"41","죄 많은 소녀","8","연출을 좀 무겁게 했지만, 그로 인해 더 생생했다 전여빈 배우님 원석발견영화."
"42","극장판 귀멸의 칼날: 무한열차편","10","진짜 여러분들 휴지 챙겨가세요 4d로 봐도 재밌는데 4d로 보면 울거 같은 장면에서 의자가 움직여서 안울수도 있습니다. 진짜 개인 소장해서 여러번 보고 싶은 영화입니다."
"43","에놀라 홈즈","10","영화 잘 봤습니다 창작의 자유이니 너무 서로 헐뜯지 맙시다 근데 일부 남자들보고 반성하라는 말이 자주 보이는데 뭘 반성해야 되죠?? 여성이라고 무시하면서 산적 없는데 80년대 이후로 태어난 남자들은 거의다 저랑 비슷한 생각일거임 사회구조적인 문제와 기성세대가 잘못한걸 왜 우리한테 풀고있는지"
"44","미나리","8","잔잔한 영화생각보다 큰 감동은 아니었다.기대가 컸나?"
"45","포비아","2","그럭저럭. 서프라이즈 수준의 공포."
"46","도굴","5","롤토체스 하면서 사운드 채우기에는 적합했어요."
"47","미나리","6","영화는 밋밋했어요음악은 좀 촌스러워서 거슬렸구요배우들의 어색한 한국어가 몰입을 방해했어요어?이게 끝이야의 엔딩이었습니다"
"48","미나리","4","딱 상주는 사람들 취향인 영화.. 공감이 잘 안됨"
"49","꾼","10","와 나 평점 처음 써보는데 개재밌다 넷플에 나와서 아무생각 없이 틀었는데 존잼 반전에반전 그와중에 현빈 존잘 다들 꼭 보셈"
"50","극장판 귀멸의 칼날: 무한열차편","10","눈물바다....넘모 잼잇쟌아"
"51","미나리","6","마무리가 비교적 약했음"
"52","해리 포터와 불의 잔","10","롯데시네마랑 CGV 둘 다 봤는데 의자는 롯데시네마가 더 움직이고 특수효과는 CGV가 더 좋네요 근데 매장마다 다를 수 있으니 참고만 하세용"
"53","인랑","1","밀정은 완벽한데 인랑은 왜 이모양?"
"54","극장판 귀멸의 칼날: 무한열차편","10","쩔었다.. 애니를 극장가서 본것도 성인되고 처음이지만 이건 정말 볼만합니다"
"55","극장판 귀멸의 칼날: 무한열차편","10","난 너무 재밌었음 그럼 됐어"
"56","빽 투 더 퓨쳐 3","9","3부작이 서로 적절하고 자연스럽게 이어지면서 마지막 끝맺음까지 완벽한 고전명작"
"57","바이올렛 에버가든 - 영원과 자동 수기 인형 -","8","편지라는 매체가 가진 특징을 잘 살리면서, 서정적인 분위기, 극강의 작화, 멋진 OST까지. 자극적이지 않으면서 마음을 포근하게 적셔주는 고마운 시리즈."
"58","와호장룡","8","액션씬이 훌륭하고 씁쓸하면서도 애달픈 무협영화"
"59","톰과 제리","8","톰과제리는 옛날부터 많이 봐와서 지루하지 않았는데, 분량이 살짝 아쉽고, 클레이 모레츠와 협동 조합은 잘 안 맞은 거 같네요.."
"60","미나리","5","재미도 감동도 너어무 없음"
"61","극장판 귀멸의 칼날: 무한열차편","10","마스크 젖도록 울고 나옴.... 증말 보고와서 몇일째 못헤어나오는 중.. 싸움씬에 깔리는 오토튠 지리는 음악은 개 소름돋음!!!쿄쥬로ㅠㅠㅠㅠ♥ ♥ ♥ ♥"
"62","미나리","10","배우분들의 폭발적이면서도 절제된 연기가 너무 인상적이었네요. 윌 패튼의 힐빌리 신앙인 연기도 아주 원더풀 ♪"
"63","나의 소녀시대","7","유치한맛이 있긴하지만 볼만한 로맨스 영화"
"64","미나리","6","윤여정씨가 어디 아파하는 연기 그 때만 잠깐 훌쩍임. 그 외엔 그닥... 너무 스무스해서 영"
"65","게임의 법칙","8","홍콩느와르의 여파가 짙게 풍기지만, 그래도 좋았던 영화!!"
"66","어바웃 타임","9","가슴을 따뜻하게 해주는 정말 좋은 영화입니다 ㅎㅎ"
"67","미나리","10","흐르는 강물 영화가 생각나는 잔잔함과 가족애로 감동을 주는 영화였습니다.  ‘할머니가 자리를 잘 잡으셨네’ 엔딩의 대사는 여운이 남습니다.  미나리가 연약해 보이지만 바람결에 흔들리면서 보이는 장면은 한국 정서가 함축되어 보여주는 장면이라고 생각했습니다."
"68","미나리","10","많은 사람들이 보았으면 좋겠다 가족의 의미..."
"69","날씨의 아이","10","이 영화가 왜 호불호 갈리는지 모르겠습니다 저는 극호였습니다 !"
"70","극장판 귀멸의 칼날: 무한열차편","10","쵝오...!!더 이상 말이 필요없음...."
"71","플랜맨","10","세 번 봤지만 잼있네요! 정재영 연기 잘하고 한지민은 상큼합니다!! 계획을 세워야해~ 알람을 맞춰야해~ 노래도 좋아요"
"72","미나리","6","외국인들 눈에는 영화가 신선했나보다. 나에겐 스티븐 연 한국말 많이 늘었네 정도의 감흥."
"73","이미테이션 게임","10","이 영화는 미치다못해 경이롭다...."
"74","극장판 귀멸의 칼날: 무한열차편","1","쓰레기 전범영화 퉤 이런영화는 소비 금지임"
"75","소울","10","8세 아이랑 함께 봤는데 너무 감동적이였어요."
"76","간신","8","보는내내 속이 거북했어요..남자분들 혼자만 보세요 커플끼리는 비추해요..자극적이기는 엄청 자극적이에요..김강우 연기랑 연회장면이 기억에 남아요 여주인공 예쁘네요.."
"77","미나리","6","가족이 아메리칸 드림 이루는 모습이 나왔으면 더 좋았을듯 연기는 굿임"
"78","너의 여자친구","7","이엘리야 이쁜맛에보긴봤는데.. 휠체어에 곰돌이인형.. 매달고 다니지마라.. 죽는다..진짜;;"
"79","톰과 제리","6","색다른 영상미를 느낄수있었다. 배우들 연기잘함"
"80","미나리","9","고난 속에서 살아남는 가족 이야기. 기생충이 사회 부조리를 콕 짚어 내려다봤다면, 미나리는 현장 속으로 쑥 들어가 버린다. 연기, 촬영, 음악도 고루 좋은 듯"
"81","극장판 귀멸의 칼날: 무한열차편","10","그냥 애니메이션을 보면서 영상에 압도된적은 처음이었습니다. 정말 최고네요"
"82","미나리","10","할머니가 보고 싶어졌다."
"83","미나리","8","잔잔하고 아름다운.미나리 옆 잔물결같은 영화."
"84","국가부도의 날","1","감독님, 촬영장에 불좀 키고 찍으세요."
"85","미나리","6","내가 공감할수 없는 세대의 이야기 보고 나서도 여전히 공감하지 못했다"
"86","토이 스토리 3","10","나의 어릴 적 동심과 추억을 예쁜 앨범으로 만들어 준 행복한 선물같은 영화"
"87","완벽한 타인","10","조온나재밌음ㅋㅋ보는내내 개꿀잼"
"88","퀵","6","여기 나왔던 조연들은 다 대박이다... 지금 다 잘나가는 사람들만 나오네"
"89","미션 파서블","10","간만에 한국영화 재밌어요 ^^"
"90","미나리","10","그럼에도 불구하고 꿋꿋하게!"
"91","극장판 귀멸의 칼날: 무한열차편","10","최고의 영화입니다. 추천합니다."
"92","미나리","10","담백한 연출이 좋았어요"
"93","미나리","8","삶을 되돌아 보게 하는 잔잔한 영화입니다"
"94","극장판 귀멸의 칼날: 무한열차편","10","4번 즙짰습니다1. 탄지로 꿈속 회상씬2. 렌코쿠 첫 기술3. 렌코쿠 부상 후 탄지로 오열4. 렌코쿠 사망 직전 어머니 재회씬진짜 귀칼은 전설입니다"
"95","원더풀 고스트","4","대한민국 관객의 눈은 높아졌음. 이게 뭐임."
"96","덕구","10","그냥 영화시작하고 20분지나고부터 계속 울었어요 휴지뽑고 닦고 다젖고 젖어서 계속 눈물났어요 마음이저릴듯이크게다가온영화에요 저는 할아버지가 아주애기때 돌아가셔서 추억이없어 공감되는스토리는아니였던 제가 이정도오열하는데 하 정말 너무감동받고 그냥 마음속 깊게 새기고싶은 영화입니다 너무 잘봤어요"
"97","미나리","4","뭐 어쩌라는건지 기대가 너무 높았나 엥 스러웠다..갑자기 집에서 티비만 보고있으라니깐 구지구지 쓰레기를 태우고 미나리 찬양에...음;"
"98","미나리","10","이용철이는 평점이 항상 낮냐"
"99","뚝방전설","7","킬링타임용 괜찮음.철부지가 현실을 깨닫고 철이 드는 과정.주연,조연보다 우정출연한 유지태의압도적인 장악력이 돋보이는 작품."
"100","미나리","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"101","미나리","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"102","완벽한 타인","10","배우들의 연기력이 대박이다...."
"103","미나리","8","소박하지만 담백하게, 어디에서든 피어날 사람들의 이야기"
"104","미나리","4","독립영화같은느낌차분하고조용한"
"105","구라, 베토벤","10","킬링타임으로 가서 봤는데 생각보다 너무 재밌게 잘봤어요! 후반부로 갈수록 휘몰아치네요"
"106","이 안에 외계인이 있다","10","이영화 재밌어요 와우 대박 반전 !"
"107","극장판 귀멸의 칼날: 무한열차편","10","미쳤다 !!!슬펐다!!! 죽지 않길 바랬는데 ..."
"108","세자매","10","공감하면서 눈물흘리면서 재밌게 봤어요!연기 굿!"
"109","미나리","10","기대보다 더 좋았어요. 마음이 편해지는 영상과 음악, 거기에 배우들의 멋진 연기들까지 호평 받을만한 영화가 분명합니다. 가족들 데리고 한번 더 보러가고 싶네요"
"110","미나리","8","영상미와 음악이 큰 몫합니다. 보는 내내 먹먹해요"
"111","피막","9","아무 생각없이 보다 얻어 걸린 대박영화네요...웃음과감동 그리고 적절한 공포....개봉한지 8년이 지난 지금 감상했습니다한국 뮤직 비디오에도 출연한 이력이 있는여주인 다비카후네~  지금도 유명하고 이쁘지만8년전 미모가 더 이쁜거 같네요!!"
"112","열혈형사","10","인권씨를 좋아하는 팬으로써 안타깝네요.개성과 연기력에 걸맞는 좋은영화 만나시길..."
"113","빛의 아버지: 파이널 판타지 XIV","10","미쳤다진짜 어떻게 이런 영화를 만들 수 있지RPG 끊었는데 또 하고 싶어짐 ㅠ"
"114","디지몬 어드벤처 라스트 에볼루션 : 인연","10","와...내추억... 진짜 눈물나네여 ㅠㅠ"
"115","꾼","10","재밌음!!! 배우들 케미가 쩖ㅋ"
"116","극장판 귀멸의 칼날: 무한열차편","10","화염의 호흡 오의! 연옥!"
"117","애니멀 타운","8","사모님 줘팰때 ㄹㅇ 통쾌해서 별4개줌"
"118","그레이의 50가지 그림자","10","남주존잘 .. 여주존예 ... 아름답다"
"119","미나리","10","역작이다 두번봐라 ㅇㅇ"
"120","스토커","10","나는 지금까지 쌓아온 모든 관념과 압박을 버리고 주인공 소녀만큼 성장할 수 있을까 싶었던... 영화 재밌어요"
"121","극장판 귀멸의 칼날: 무한열차편","10","막상 영화볼땐 눈물이 안나다가 곱씹으면서 ㅜㅜㅜ 주륵 ㅜ 단순한 소년만화가 아니다 여러가지 교훈을 잘 담고 있는 애니메이션. 유포터블 감사합니다!"
"122","미나리","4","뭔데 이게.... 미나리를 한 번도 검색하지 않았음에도 불구하고 각종 매체에서 호평인게 눈에 띄거나 귀에 들어오기에 개봉하자마자 봤더니 기대가 너무 큰 탓인가? 아니 그건 아닌 것 같고... 재미 없었다. 무슨 사건 하나가 터지길 바랬는데 러닝타임 두시간 째가 다 되어가는데도 아무 일이 일어나지 않더라. 자극에 너무 물들어 버렸다고 하기에는 영화가 너무나도 잔잔함. 윤여정님의 연기는 좋았음. 근데 왜 그렇게 된 지 설명을 안해줌..."
"123","미나리","10","이런 영화가 많이 나왔으면.... 신파가 없으니 여운이 더 오래 가네요"
"124","기방도령","6","텔미 뭐야 진짜ㅋㅋㅋㅋ준호때문에 봤다"
"125","황해","10","작품성으론 사실상 또 하나의 만점 영화, 무슨 설명이 더 필요한가? 한 마디로 명불허전 나홍진의 또 하나의 곡성과 추격자, 그나저나 아내가 임신했는대도 불구하고 마음 속으로 피눈물을 흘리며 강간씬을 찍은 철민이 형님 제발 이젠 좀 뜨고 편하게 살았으면 좋겠습니다..."
"126","극장판 귀멸의 칼날: 무한열차편","8","아 나 너무 기대하고 가서 좀 아쉬웠음 울 준비 다했는데 한방울 흘리고 나옴"
"127","미나리","8","그럼에도 가족, 그렇기에 가족."
"128","미나리","9","괴로워도 슬퍼도 꿋꿋이 강하게 살아갈, 이 세상 모든 미나리들을 응원하며."
"129","극장판 귀멸의 칼날: 무한열차편","10","최고의 애니다 흑....감동적이고 슬포"
"130","극장판 귀멸의 칼날: 무한열차편","10","좋다.. 좋아.. 4dx로 보세요.."
"131","미나리","8","희망이 사라져도 희망은 있다"
"132","피아니스트","10","최고의 실화영화입니다 꼭 보세요  이런 영화 다시는 없을듯"
"133","머니백","10","생각도 못한 재미 !!ㅋㅋ 시간가는 줄 모르고 웃다 울다 재밌습니다!!"
"134","죽여주는 여자","10","암울했지만 정말 잘봤습니다 윤여정님 최고"
"135","미나리","9","성장영화입니다. 깊은곳에서 오는 감정이 있었어요.미나리 많이 넣은신선한 회무침이 생각나요저 뭔소리하는거죠ㅋㅋㄱ영상미, 음악 다 좋아요"
"136","미나리","8","영화가 아니라 누군가의 삶을 살짝 엿본 것 같다. 특히나 영화 마지막 부분의 사진들... 우리 고모네에 걸려있는 빛바랜 사진액자와 똑 닮아서 놀랐다. 향이 진한 미나리를 좋아하지 않지만, 언젠가 타국에서 살게 된다면 미나리를 그리워하게 되려나 라는 생각을 한번 하게 해준 영화."
"137","미나리","10","최고의 수혜자는 브레드 핏 ! 감독은 소설같은 전개를 영상으로 잘 펼쳤고 문학적 베이스가 매우 탄탄하다고 누껴졌움"
"138","핫 썸머 나이츠","6","그냥 뻔한 결말에 뻔한 내용, 하지만 미래에서 과거를 해설하는 것과 중간중간 흘러나오는 음악들, 옜날 미국의 분위기가 너무 좋았던 영화였다"
"139","82년생 김지영","6","책읽었지만 초반부에는 흥미진진해서 읽었지만 끝까지 반전은없었고  그냥 너무나 평범한 현대여성의 결혼후의 모습 다 그리살지않나 그렇지만 왜 헛소리를한거지?치매는 아닌거잖아요 ㅋ작가의 고발프로 피디출신다웠음!!"
"140","톰과 제리","6","스토리 많이 부족하고 부실하지만톰과 제리 를 영화관에서 본것만으로도 만족합니다."
"141","미나리","7","미나리 처럼 무럭무럭 자라난 가족의 사랑"
"142","매트릭스","9","상상조차 하지마라! 당신의 눈은 현실세계가 아닌 오직 디지털프로그램에 갇혀살고있다! 20세기 마지막 디지털아날로그 하이테그 sf액션의 진화 매트릭스"
"143","극장판 귀멸의 칼날: 무한열차편","1","귀멸의 칼날 시간 날렸네 최악이다"
"144","극장판 귀멸의 칼날: 무한열차편","10","생존 200명 사망 1명...."
"145","미나리","10","영화 후반부 데이빗이 뛰어가던 장면, ‘할머니 가지마! 우리랑 같이 살자!’ 영원히 잊혀지지 않을 것 같다."
"146","미나리","1","다들 좋은 평을 내고 있는 마당에...감독과 제작진 거의 모두 한국인이 아닌데 너무 많은 매스컴에서 마치 자랑스런 한국인이 만든 한국영화인냥 은근슬쩍 작품국적을 둔갑시키고 있다는 생각을 했다. 전형적인 동양여성의 외형을 가진 한예리와 윤여정의 캐스팅은 완벽했다. 그러나 스티븐연의 어눌한 한국말에 보는내내 어색했다. 그리고 느닷없는 윤여정의 중풍은 고다르의 쩜프컷이 생각났다. 제발 JTBC는 이 작품을 봉준호의 기생충 영광인냥 재현하지 말아주었으면... 기생충과 미나리는 다르다."
"147","라스트 레터","10","옛날 그 감동 그대로*^^*"
"148","마이너리티 리포트","10","역시 스필버그임 영화관에서 못본게 아쉬운 영화"
"149","스타워즈: 라스트 제다이","1","평론가분들께 바칩니다"
"150","미나리","10","잔잔한 여운이 오래 가는 영화그리고 윤여정"
"151","미나리","6","가족이 웬수다 이거하나 느낌 왜 이렇게 호평받고 상을 많이탔는지 난 도통 모르겠다"
"152","미나리","8","가족애를 느끼게하는 훈훈한 영화잘봤습니다"
"153","극장판 귀멸의 칼날: 무한열차편","10","애니로 표현된 장면들과 액션씬은 입이 다물어지지 않을정도였다 애니는 그저 잔잔하고플때 편하게 보는 장르였는데 온 신경을 집중시키는 작품이였다 그야말로 요즘말로 가슴이 웅장해졌다 최고의 작품이였다"
"154","소울","6","앞부분에 토끼굴은 왜 보여줬는지 모르겠음 성인이 보고 즐길만한 내용은 아닌듯"
"155","미나리","9","한예리가 미국인들이 좋아하는 동양인 스타일"
"156","고질라: 킹 오브 몬스터","10","밀리 바비 브라운이 원숭이띠라는 놀라운 사시ㄹ..."
"157","허트 로커","10","내가 가장 재밌게 본 미국 군대영화 ""아메리칸 스나이퍼"", ""허트 로커"" "" 핵소고지"" 이 셋은 진짜 제대로다.."
"158","미나리","9","그늘이 지고, 물이 고여 늘 축축한 환경에도 불구하고 삶을 유지하고 버텨내는 미나리가 가진 생명력. 그게 바로 '가족'이라는 은유겠지요."
"159","미나리","6","지루함의 미학, 어떤 주제의식을 전달하는지 이해 못했다."
"160","미나리","8","나쁘지 않았다.방금 보고옴."
"161","미나리","10","마음이 따뜻해지는 너무나 멋진 영화!마지막 크레딧 올라갈때 노래와 숲소리까지 좋았습니다."
"162","미나리","10","<기생충>이 물로써 냉담하게 우리 사회를 보여줬다면, <미나리>는 불로써 뜨겁게 우리 가족을 돌아보게 해줬다."
"163","극장판 귀멸의 칼날: 무한열차편","10","가슴이 웅장해진다.."
"164","소울","9","소울 덕에 집에가는 길 마저도 나의 불꽃을 찾았어요~^^"
"165","미나리","10","어떤 역사영화보다 감동적"
"166","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"167","극장판 귀멸의 칼날: 무한열차편","10","키부츠지 무잔은 등장 안하나요? 왜"
"168","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"169","미나리","10","마음 따뜻한 영화입니다자극적인 영화만보다가~~~편하하게 관람 강추~~~"
"170","협상","10","딴건 다 필요없고 현빈 손예진 연기에 감동받았습니다."
"171","미나리","10","최고의영화 극찬받을만함"
"172","미나리","8","울리지 않아서 더 좋았어요."
"173","미스터 존스","6","이런류의 이야기는 이젠 한계가.."
"174","극장판 귀멸의 칼날: 무한열차편","10","마지막 결투신만 볼테니까 3천원에 티켓 해줘요"
"175","용의자 X의 헌신","10","이시가미에게만 10점을"
"176","당갈","10","아미르캰의 영화는언제나 최고다"
"177","시간의 끝에서 널 기다려","9","저런 맹목적 사랑이 정말 있을까?어린시절엔 엄마가 전부인데 엄마를 잃은 아이에게 철없는 친구들의 괴롭힘. 그때 손잡아준 여자애는 구원자였고 희망이었고 행복이었겠죠. 각인된 오리처럼 무조건 따라간 감정이었으니까 그 사람을 잃고선 살 수 없었던게 아닐까.. 자신의 삶을 다 내어주고서라도  시간을 돌리고 싶었던.. 그 남자의 사랑에 가슴이 먹먹해져 옵니다"
"178","미나리","9","우리나라도 이런 영화가 나올련지"
"179","007 골든 아이","8","페테르스부르크를 뒤집어엎는 제임스본드.구소련 때는 상상도 못할..티나 터너가 주제가 불러. 골든 아아이~"
"180","협상","9","영화잘봐습니다손예진누나좋아합니닫"
"181","새해전야","6","연말에 봤으면 좋았을텐데..."
"182","덕구","10","어린시절 누구나 기억하는 내편나의 모든걸 다 받아주신 내편할아버지 가슴에 자연스럽게 뭍혀있는기억을 다시 생각나게 하는 영화네요다시 어린시절 국민학교 때로추억을 되살아나네요"
"183","미나리","8","음악이 잔잔하고 데이빗 넘 귀엽습니다"
"184","꾼","10","넷플릭스에 있길래 우연히 봤는데 생각보다 넘 재밌네요. 마지막 엔딩 장면보니 시즌2도 나올것 같은데.. 제작 예정이시라면 빨리 크랭크인 해주셨으면 좋겠네요.. 넘 재밌게 봤습니다!"
"185","꾼","10","넷플릭스에 있길래 우연히 봤는데 생각보다 넘 재밌네요. 마지막 엔딩 장면보니 시즌2도 나올것 같은데.. 제작 예정이시라면 빨리 크랭크인 해주셨으면 좋겠네요.. 넘 재밌게 봤습니다!"
"186","변신","10","엔딩 음악만이 구슬프고 서글프다."
"187","기생충","1","너무 별론데...  봉준호..  설국이나 기생충같은 억지로 교훈 줄려는 영화 그만 만들고.. 살인의 추억 같은 영화를 만들어라.."
"188","미나리","8","영화 좋았습니다 함께 힘내서 살아가는모습이 위로가 됐네요"
"189","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"190","미나리","8","어려운 시대를 담담히 풀어나갔거 같습니다."
"191","최미역행","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"192","최미역행","1","뭔 내용인지도 모르겠고 내용도 중뽕이랑 지들 잘 못 덮으려는게 너무 환하개 보여서 역겹다"
"193","이터널 선샤인","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"194","이터널 선샤인","9","22살때 봤을땐 뭔 내용인지도 모르고 이게 왜 명작인가 싶었는데 딱10년후 32살때 다시보니 전부 이해간다 왜 명작인지 알겠다"
"195","장난스런 키스","6","관객들에게 장난스럽게 로맨스."
"196","당신을 오랫동안 사랑했어요","10","아 너무 좋다... 프랑스 영화는 영상미만 예쁘다고 생각했었는데.. 잔잔한 흐름도 마음에 들었고 나오는 비지엠들마다 다 좋았음.. 영화 크레딧이 올라가고 비지엠 듣고 싶어서 끝까지 본 영화"
"197","미쓰백","9","세상안 아무리 지옥같은 인생이라도 사랑의  구원자는 있었다. 사랑이란...장면, 장면중 보는내내 가슴이 아파 결국 눈물을 남겼다.연출, 연기, ost 다 좋음!"
"198","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"199","미나리","6","오늘 미나리 영화 개봉해서 넘좋네 조만간에 영화 보러 올것 요즘 코로나 땜에 영화 보러 가지 못했음 코로나가 얼른 끝나기 바람 ㅋㅋ"
"200","극장판 귀멸의 칼날: 무한열차편","10","휴... 빨리 다음편 마렵다구요!! 넷플릭스에서 무한열차 전까지 다 나와서 이틀밤 세서 보고 얼릉 영화보구 뒤에 이야기는 만화로 다 봤습니당  스토리는 물론 너무 좋지만 영상미가 완전 눈이 즐거우요. 너무 재밌었어요"
